School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Rukmani Devi Jaipuria Public School,110054,516,4,4,,,200,Onetime,3125,Monthly,,,300,Annually,1500,Annually,,,39500,3275
Rukmani Devi Jaipuria Public School,110054,516,5,5,,,200,Onetime,3125,Monthly,,,300,Annually,1500,Annually,,,39500,3275
Rukmani Devi Jaipuria Public School,110054,516,6,6,,,200,Onetime,3450,Monthly,,,300,Annually,1500,Annually,,,43400,3600
Rukmani Devi Jaipuria Public School,110054,516,7,7,,,200,Onetime,3450,Monthly,,,300,Annually,1500,Annually,,,43400,3600
Rukmani Devi Jaipuria Public School,110054,516,8,8,,,200,Onetime,3450,Monthly,,,300,Annually,1500,Annually,,,43400,3600
Rukmani Devi Jaipuria Public School,110054,516,9,9,,,200,Onetime,3450,Monthly,,,300,Annually,1500,Annually,,,43400,3600
Rukmani Devi Jaipuria Public School,110054,516,10,10,,,200,Onetime,3450,Monthly,,,300,Annually,1500,Annually,,,43400,3600
Rukmani Devi Jaipuria Public School,110054,516,11,14,,,200,Onetime,3675,Monthly,,,300,Annually,3675,Annually,,,48275,4006
Rukmani Devi Jaipuria Public School,110054,516,12,15,,,200,Onetime,3675,Monthly,,,300,Annually,3675,Annually,,,48275,4006
St. Johns Convent School,110084,519,1,1,,,500,Onetime,1540,Monthly,,,,,1700,Annually,,,20680,1682
St. Johns Convent School,110084,519,2,2,,,500,Onetime,1540,Monthly,,,,,1700,Annually,,,20680,1682
St. Johns Convent School,110084,519,3,3,,,500,Onetime,1540,Monthly,,,,,1700,Annually,,,20680,1682
St. Johns Convent School,110084,519,4,4,,,500,Onetime,1540,Monthly,,,,,1700,Annually,,,20680,1682
St. Johns Convent School,110084,519,5,5,,,500,Onetime,1540,Monthly,,,,,1700,Annually,,,20680,1682
St. Johns Convent School,110084,519,6,6,,,500,Onetime,1720,Monthly,,,,,1700,Annually,,,22840,1862
St. Johns Convent School,110084,519,7,7,,,500,Onetime,1720,Monthly,,,,,1700,Annually,,,22840,1862
St. Johns Convent School,110084,519,8,8,,,500,Onetime,1720,Monthly,,,,,1700,Annually,,,22840,1862
St. Johns Convent School,110084,519,9,9,,,500,Onetime,2430,Monthly,,,,,1700,Annually,,,31360,2572
St. Johns Convent School,110084,519,10,10,,,500,Onetime,2430,Monthly,,,,,,,,,29660,2430
GD Goenka Public School,110009,1687,1,1,,,200,Onetime,10370,Monthly,,,16000,Annually,20000,Annually,,,160640,13370
GD Goenka Public School,110009,1687,2,2,,,200,Onetime,10370,Monthly,,,16000,Annually,20000,Annually,,,160640,13370
GD Goenka Public School,110009,1687,3,3,,,200,Onetime,10370,Monthly,,,16000,Annually,20000,Annually,,,160640,13370
GD Goenka Public School,110009,1687,4,4,,,200,Onetime,10370,Monthly,,,16000,Annually,20000,Annually,,,160640,13370
GD Goenka Public School,110009,1687,5,5,,,200,Onetime,10370,Monthly,,,16000,Annually,20000,Annually,,,160640,13370
GD Goenka Public School,110009,1687,6,6,,,200,Onetime,10670,Monthly,,,16000,Annually,20000,Annually,,,164240,13670
GD Goenka Public School,110009,1687,7,7,,,200,Onetime,10670,Monthly,,,16000,Annually,20000,Annually,,,164240,13670
GD Goenka Public School,110009,1687,8,8,,,200,Onetime,10670,Monthly,,,16000,Annually,20000,Annually,,,164240,13670
GD Goenka Public School,110009,1687,9,9,,,200,Onetime,11070,Monthly,,,16000,Annually,20000,Annually,,,169040,14070
GD Goenka Public School,110009,1687,10,10,,,200,Onetime,11070,Monthly,,,16000,Annually,20000,Annually,,,169040,14070
GD Goenka Public School,110009,1687,11,14,,,200,Onetime,11970,Monthly,,,18000,Annually,24000,Annually,,,185840,15470
GD Goenka Public School,110009,1687,12,15,,,200,Onetime,11970,Monthly,,,18000,Annually,24000,Annually,,,185840,15470
St. Mother Teresa Public School,110084,514,1,1,,,200,Onetime,1150,Monthly,,,,,880,Annually,,,14880,1223
St. Mother Teresa Public School,110084,514,2,2,,,200,Onetime,1150,Monthly,,,,,880,Annually,,,14880,1223
St. Mother Teresa Public School,110084,514,3,3,,,200,Onetime,1150,Monthly,,,,,880,Annually,,,14880,1223
St. Mother Teresa Public School,110084,514,4,4,,,200,Onetime,1150,Monthly,,,,,880,Annually,,,14880,1223
St. Mother Teresa Public School,110084,514,5,5,,,200,Onetime,1150,Monthly,,,,,880,Annually,,,14880,1223
St. Mother Teresa Public School,110084,514,6,6,,,200,Onetime,1300,Monthly,,,,,880,Annually,,,16680,1373
St. Mother Teresa Public School,110084,514,7,7,,,200,Onetime,1300,Monthly,,,,,880,Annually,,,16680,1373
St. Mother Teresa Public School,110084,514,8,8,,,200,Onetime,1300,Monthly,,,,,880,Annually,,,16680,1373
St. Mother Teresa Public School,110084,514,9,9,,,200,Onetime,1300,Monthly,,,,,880,Annually,,,16680,1373
St. Mother Teresa Public School,110084,514,10,10,,,200,Onetime,1300,Monthly,,,,,880,Annually,,,16680,1373
St. Mother Teresa Public School,110084,514,11,14,,,200,Onetime,2000,Monthly,,,,,2500,Annually,,,26700,2208
St. Mother Teresa Public School,110084,514,12,15,,,200,Onetime,2000,Monthly,,,,,2500,Annually,,,26700,2208
Lilawati Vidya Mandir Senior Secondary School,110007,498,Nursery,12,,,225,Onetime,4100,Monthly,,,,,,,500,Onetime,49925,4100
Jesus Grace Modern School,110084,499,1,1,,,200,Onetime,1210,Monthly,,,,,,,,,14720,1210
Jesus Grace Modern School,110084,499,2,2,,,200,Onetime,1210,Monthly,,,,,,,,,14720,1210
Jesus Grace Modern School,110084,499,3,3,,,200,Onetime,1210,Monthly,,,,,,,,,14720,1210
Jesus Grace Modern School,110084,499,4,4,,,200,Onetime,1210,Monthly,,,,,,,,,14720,1210
Jesus Grace Modern School,110084,499,5,5,,,200,Onetime,1210,Monthly,,,,,,,,,14720,1210
Jesus Grace Modern School,110084,499,6,6,,,200,Onetime,1595,Monthly,,,,,,,,,19340,1595
Jesus Grace Modern School,110084,499,7,7,,,200,Onetime,1595,Monthly,,,,,,,,,19340,1595
Jesus Grace Modern School,110084,499,8,8,,,200,Onetime,1595,Monthly,,,,,,,,,19340,1595
Jesus Grace Modern School,110084,499,9,9,,,200,Onetime,2100,Monthly,,,,,,,,,25400,2100
Jesus Grace Modern School,110084,499,10,10,,,200,Onetime,2100,Monthly,,,,,,,,,25400,2100
Joseph and Mary Public School,110084,520,1,1,,,400,Onetime,2340,Monthly,,,2000,Annually,10900,Annually,,,41380,3415
Joseph and Mary Public School,110084,520,2,2,,,400,Onetime,2340,Monthly,,,2000,Annually,10900,Annually,,,41380,3415
Joseph and Mary Public School,110084,520,3,3,,,400,Onetime,2400,Monthly,,,2000,Annually,10900,Annually,,,42100,3475
Joseph and Mary Public School,110084,520,4,4,,,400,Onetime,2400,Monthly,,,2000,Annually,10900,Annually,,,42100,3475
