country_id,country,state,city,district,district_region,area,pincode
1,India,Haryana,Faridabad,Faridabad,Vinay Nagar,,121003
1,India,Haryana,Faridabad,Faridabad,Sector 93,,121002
1,India,Haryana,Faridabad,Faridabad,Sector-88,,121002
1,India,Haryana,Faridabad,Faridabad,Sector-17,,121002
1,India,Haryana,Faridabad,Faridabad,Sector-81,,121004
1,India,Haryana,Faridabad,Faridabad,sector-14,,121002
1,India,Haryana,Faridabad,Faridabad,Sector 87,,121003
1,India,Haryana,Faridabad,Faridabad,Sector 76,,121004
1,India,Haryana,Faridabad,Faridabad,Sector 48,,121001
1,India,Haryana,Faridabad,Faridabad,Sector 37,,121003
1,India,Haryana,Faridabad,Faridabad,Sector 17,,121002
1,India,Haryana,Faridabad,Faridabad, Sector 48,,121001
1,India,Haryana,Faridabad,Faridabad,Nangla Gujran,,121004
1,India,Haryana,Faridabad,Faridabad,Sector 31,,"
121003
"
1,India,Haryana,Faridabad,Faridabad,Sector 46,,121001
1,India,Haryana,Faridabad,Faridabad,Fatehpur Taga,,121002
1,India,Haryana,Faridabad,Faridabad,"Sector 96, Jasana",,121101
1,India,Haryana,Faridabad,Faridabad,New Industrial Township (NIT),,121005
1,India,Haryana,Faridabad,Faridabad,Dheeraj nagar,,121003
1,India,Haryana,Faridabad,Faridabad,Sector 30,,121003
1,India,Haryana,Faridabad,Faridabad,Sector 8,,121006
1,India,Haryana,Faridabad,Faridabad,Sector 19,,121001
1,India,Haryana,Faridabad,Faridabad, Sikri,,121004
1,India,Haryana,Faridabad,Faridabad,Surajkund Road,,121009
1,India,Haryana,Faridabad,Faridabad,Sector 3,,121004
1,India,Haryana,Faridabad,Faridabad,Palla,,121004
1,India,Haryana,Faridabad,Faridabad,Sector 23,,121005
1,India,Haryana,Faridabad,Faridabad,Sector 21A,,121003
1,India,Haryana,Faridabad,Faridabad,Sector 86,,121002
1,India,Haryana,Faridabad,Faridabad,Sector 21D,,121001
1,India,Haryana,Faridabad,Faridabad,Saroorpur,,121004
1,India,Haryana,Faridabad,Faridabad,Sector 49,,121001
1,India,Haryana,Faridabad,Faridabad, Sector 91,,121013
1,India,Haryana,Faridabad,Faridabad,Sector 52,,121005
1,India,Haryana,Faridabad,Faridabad,Sector 10,,121004
1,India,Haryana,Faridabad,Faridabad,Neharpar,,121003
1,India,Haryana,Faridabad,Faridabad,Jawahar Colony,,121005
1,India,Haryana,Faridabad,Faridabad,Sector 28,,121008
1,India,Haryana,Faridabad,Faridabad,Sector 9,,121006
1,India,Haryana,Faridabad,Faridabad,Sector 91,,121003
1,India,Haryana,Faridabad,Faridabad,Pakhal,,121001
1,India,Haryana,Faridabad,Faridabad,Sehatpur,,121003
1,India,Haryana,Faridabad,Faridabad,sector 21B,,121001
1,India,Haryana,Faridabad,Faridabad,Agwanpur,,121013
1,India,Haryana,Faridabad,Faridabad,Sector 2C,,121001
1,India,Haryana,Faridabad,Faridabad,"
Vasundhara
",,121002
1,India,Haryana,Faridabad,Faridabad,Kanwara,,121002
1,India,Haryana,Faridabad,Faridabad,Samaypur Dhauj,,121004
1,India,Haryana,Faridabad,Faridabad,Nangla,,121004
1,India,Haryana,Faridabad,Faridabad,Sector 34,,121003
1,India,Haryana,Faridabad,Faridabad,Sector 16,,121002
1,India,Haryana,Faridabad,Faridabad,Sector 29,,121008
1,India,Haryana,Faridabad,Faridabad,Main Sohna Road,,121004
1,India,Haryana,Faridabad,Faridabad,Sector 7C,,121006
1,India,Haryana,Faridabad,Faridabad,Sector 82,,121004
1,India,Haryana,Faridabad,Faridabad,Sector 81,,121004
1,India,Haryana,Faridabad,Faridabad,Sector 85,,121002
1,India,Haryana,Faridabad,Faridabad,Sector 16A,,121002
1,India,Haryana,Faridabad,Faridabad,Sector 15,,121007
1,India,Haryana,Faridabad,Faridabad,Sector 15 A,,121007
1,India,Haryana,Faridabad,Faridabad,Sector 5,,121001
1,India,Haryana,Faridabad,Faridabad,Sector 11D,,121006
1,India,Haryana,Faridabad,Faridabad,Sector 43,,121003
1,India,Haryana,Faridabad,Faridabad,KL Mehta Road,,121001
1,India,Haryana,Faridabad,Faridabad,Sector 7,,121006
1,India,Haryana,Faridabad,Faridabad,Sector 75,,121004
