School_id,School_name,Country_id,Country_name,State_id,State_name,City_id,City_name,District_id,District_name,District_region_id,_District_region_name,Area_id,Area_name,Pincode
1646,Modern Cambridge School,1,India,1,Delhi,1,Delhi,3,Central Delhi,344,Karol Bagh,,,110005
1642,Convent of Jesus and Mary School,1,India,1,Delhi,1,Delhi,3,Central Delhi,327,Connaught Place,,,110001
1641,"Carmel Convent School, Chanakyapuri",1,India,1,Delhi,1,Delhi,17,South West Delhi,3213,Chanakya Puri,,,110021
1640,The British School,1,India,1,Delhi,1,Delhi,17,South West Delhi,3213,Chanakya Puri,,,110021
1638,St. John School,1,India,1,Delhi,1,Delhi,18,Shahdara,3340,Shahdara,,,110032
679,Shri Guru Ram Rai Saraswati Shishu Mandir,1,India,1,Delhi,1,Delhi,3,Central Delhi,353,Pahar Ganj,,,110055
678,Anglo Arabic Model School,1,India,1,Delhi,1,Delhi,3,Central Delhi,320,Ajmeri Gate,,,110006
677,Bhai Joga Singh Public School,1,India,1,Delhi,1,Delhi,3,Central Delhi,344,Karol Bagh,,,110005
676,Shakti Mandir Premwati Public School,1,India,1,Delhi,1,Delhi,3,Central Delhi,330,Darya Ganj,,,110002
675,"Guru Harkrishan Public School, Karol Bagh",1,India,1,Delhi,1,Delhi,3,Central Delhi,344,Karol Bagh,,,110005
674,C.L. Bhalla Dayanand Model School,1,India,1,Delhi,1,Delhi,3,Central Delhi,344,Karol Bagh,,,110005
673,"Saraswati Bal Mandir Secondary School, Pahar Ganj",1,India,1,Delhi,1,Delhi,3,Central Delhi,353,Pahar Ganj,,,110055
672,Crescent School,1,India,1,Delhi,1,Delhi,3,Central Delhi,330,Darya Ganj,,,110002
671,Saraswati Vidyalaya,1,India,1,Delhi,1,Delhi,3,Central Delhi,330,Darya Ganj,,,110002
670,Vardhaman Shiksha Mandir,1,India,1,Delhi,1,Delhi,3,Central Delhi,330,Darya Ganj,,,110002
668,Happy School,1,India,1,Delhi,1,Delhi,3,Central Delhi,330,Darya Ganj,,,110002
667,Gyan Devi Salwan Public School,1,India,1,Delhi,1,Delhi,3,Central Delhi,362,Rajender Nagar,,,110060
